id,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
28,1.4375,1.1,0.3625,24.720764,10.0640725,5.40057975,7.1157245,9.8
29,1.4875,1.2125,0.3875,33.89182725,17.973583,6.577084,8.50485,9.96
30,1.525,1.2375,0.4,34.77066175,15.30873,7.66853975,9.1568885,10.79
31,1.575,1.2625,0.425,34.06192425,14.4298955,8.1930055,11.056305,12.58
32,1.2875,1.05,0.325,17.84601025,7.98038425,3.6003865,6.0951425,9.95
33,1.425,1.125,0.4125,24.4656185,10.33339275,4.5075705,7.087375,11.02
34,1.3125,1.0375,0.35,22.75047375,8.15048125,4.32329875,6.9456275,9.48
35,1.225,0.9125,0.35,19.85882475,6.76135575,3.27436725,5.5281525,10.08
36,1.6875,1.325,0.4875,50.70308075,21.98503725,9.2702865,13.324265,11.19
37,1.55,1.225,0.475,33.8209535,12.0485375,6.39281225,11.90679,14.62
38,1.45,1.1375,0.4125,34.6147395,15.66309875,5.273007,10.20582,9.91
39,1.2,0.95,0.3125,17.0097,6.50621025,3.96893,6.23689,11.44
40,1.4125,1.05,0.3875,24.81998725,8.17883075,5.3580555,8.221355,12.82
41,1.5,1.1875,0.4,34.699788,16.045817,7.49844275,8.9300925,9.94
42,1.1875,0.9125,0.3125,15.989118,8.60407325,2.70737725,4.0539785,7.79
43,1.2875,1.0375,0.325,21.659018,7.824462,5.556502,7.087375,12.64
44,1.5125,1.1875,0.4,29.15746075,12.417081,6.22271525,8.3631025,10.88
45,1.5,1.2375,0.4375,29.540179,9.34116025,6.59125875,8.23552975,14.37
46,1.3875,1.1125,0.4,24.87668625,11.3114505,6.08096775,6.23689,9.02
47,1.125,0.875,0.25,10.9145575,4.80524025,2.26796,3.40194,7.47
48,1.425,1.1375,0.375,28.122704,12.0485375,6.066793,7.2291225,9.93
49,1.675,1.325,0.4375,42.2124055,16.726205,8.3064035,10.77281,11.15
50,1.2625,0.95,0.3,16.31513725,6.90310325,3.798833,5.953395,9.43
51,1.275,1.0125,0.3,18.10115575,8.34892775,3.72795925,5.5281525,9.16
52,1.6125,1.2375,0.4125,39.7743485,16.3009625,8.15048125,10.489315,12.48
53,1.325,1.05,0.35,19.1926115,7.27164675,4.01145425,5.953395,10.95
54,1.3,0.9375,0.3125,18.7957185,8.51902475,3.7137845,5.40057975,8.83
55,1.4375,1.0875,0.3625,26.818627,11.4248485,6.67630725,7.7961125,9.52
56,1.5125,1.225,0.45,34.8415355,15.35125425,7.47009325,8.7599955,11.33
57,1.725,1.3375,0.5,46.67745175,22.80717275,10.56018875,12.3320325,11.03
58,1.3125,1.025,0.35,18.46969925,7.69688925,4.63514325,5.2446575,9.37
59,1.4375,1.125,0.4125,29.15746075,12.0485375,6.180191,7.37087,10.74
60,1.625,1.2375,0.425,39.02308675,16.4710595,8.8166945,11.4815475,11.58
61,1.4,1.1,0.35,23.7285315,11.736693,4.40834725,6.6621325,9.02
62,1.5375,1.15,0.4375,30.43318825,11.07047975,6.56290925,10.3475675,12.51
63,1.6125,1.275,0.4375,41.4186195,16.0174675,9.22776225,12.643877,12.4
64,1.5625,1.25,0.4125,31.51046925,14.628342,7.314171,8.9300925,10.77
65,1.625,1.2625,0.475,39.70347475,14.72756525,10.20582,12.47378,11.56
66,1.45,1.1375,0.375,28.76056775,10.4609655,4.649318,8.50485,13.24
67,1.675,1.275,0.45,39.02308675,17.973583,8.4765005,11.0846545,9.93
68,1.775,1.325,0.425,43.02036625,19.6462035,10.56018875,12.303683,10.98
69,1.35,1.0625,0.325,18.24290325,7.257472,4.89028875,5.10291,9.62
70,1.375,1.0375,0.375,24.323871,8.60407325,6.747181,8.391452,10.932
71,1.3125,1.0625,0.3125,22.8213475,9.865626,4.989512,7.087375,11.37
72,1.675,1.35,0.4375,42.807745,23.2182405,8.63242275,11.7650425,11.01
73,1.575,1.1875,0.45,32.10580875,15.15280775,6.25106475,8.788345,9.95
74,1.6125,1.225,0.4375,34.68561325,15.03940975,8.391452,8.9300925,9.56
75,1.55,1.15,0.35,32.13415825,16.68368075,7.41339425,8.221355,11.18
76,1.2375,1.05,0.3375,17.84601025,7.4559185,4.03980375,6.0951425,11.59
77,1.2,0.9875,0.35,18.01610725,8.32057825,3.61456125,5.6699,8.59
78,1.575,1.2375,0.3875,32.78619675,13.90542975,7.6827145,10.0640725,12.66
79,1.5125,1.175,0.4,29.8520235,13.891255,6.76135575,7.654365,10.08
80,1.675,1.275,0.5125,43.09124,19.06503875,11.0846545,9.4970825,9.39
81,1.5625,1.175,0.3875,34.529691,14.8834875,9.56795625,8.6465975,8.97
82,1.525,1.1625,0.375,29.937072,12.2186345,6.123492,7.824462,12.08
83,1.3125,1.0,0.3,16.42853525,7.597666,3.3168915,4.3941725,8.31
84,1.5375,1.2,0.4,34.6147395,17.519991,7.10154975,8.50485,10.12
85,1.4875,1.1625,0.3875,22.55202725,9.70970375,5.08873525,6.87475375,9.69
86,1.525,1.2,0.4,28.36367475,13.947954,7.030676,7.087375,9.99
87,1.5,1.1375,0.375,28.87396575,13.87708025,7.8528115,8.221355,10.09
88,1.4,1.1,0.35,27.5273645,12.5588285,5.79747275,7.5126175,9.96
89,1.425,1.1,0.3875,24.62154075,10.41844125,4.422522,6.0951425,10.66
90,1.15,0.875,0.2875,12.99824575,4.6776675,3.118445,3.5436875,9.72
91,1.425,1.075,0.4125,20.3265915,8.1930055,4.94698775,5.5281525,9.5
92,1.5,1.1125,0.2875,24.76328825,12.51630425,5.93922025,5.783298,8.27
93,1.5875,1.225,0.425,36.61337925,13.5794105,7.144074,12.757275,12.29
94,1.3375,1.125,0.3875,24.777463,10.6877615,5.4147545,9.00096625,10.37
95,1.6875,1.3,0.475,42.2124055,17.57669,10.30504325,11.056305,11.2
96,1.725,1.4125,0.5125,51.55356575,22.6512505,11.07047975,14.01882775,10.6
97,1.475,1.1625,0.3875,25.7129965,12.74310025,5.499803,7.767763,9.38
98,1.5625,1.2375,0.3875,27.612413,13.13999325,7.5126175,7.087375,10.87
99,1.175,0.875,0.3,13.53688625,5.8683465,2.9199985,3.8271825,8.795
100,1.4875,1.1875,0.375,26.2799865,12.0485375,5.273007,7.7961125,10.59
101,1.35,1.1125,0.3125,23.700182,9.525432,4.60679375,6.9456275,12.0
102,1.4,1.075,0.3125,22.9914445,10.98543125,4.5075705,6.47786075,10.27
103,1.4375,1.125,0.375,24.720764,10.149121,6.95980225,6.520385,11.28
104,1.4375,1.1375,0.35,26.3366855,11.55242125,5.14543425,7.087375,10.54
105,1.55,1.1875,0.3875,32.31843,13.59358525,7.47009325,8.3631025,9.44
106,1.5375,1.1875,0.425,31.59551775,13.11164375,9.00096625,8.06543275,9.87
107,1.525,1.1375,0.3875,30.51823675,14.401546,4.80524025,9.63883,10.86
108,1.4625,1.125,0.3625,26.52095725,11.43902325,6.44951125,7.3425205,9.905
109,1.4,1.1,0.4125,30.0221205,9.87980075,7.767763,8.7599955,14.65
110,1.6125,1.2875,0.45,35.210079,13.891255,8.34892775,10.07824725,10.3
111,1.7375,1.425,0.5125,50.745605,23.2182405,11.0279555,12.85649825,11.07
112,1.525,1.175,0.425,32.72949775,16.62698175,6.56290925,8.1363065,10.56
113,1.225,0.95,0.325,16.102516,7.0590255,4.649318,4.252425,7.51
114,1.8,1.4375,0.475,54.0624965,24.8058125,11.226402,11.90679,11.48
115,1.5375,1.275,0.3875,36.740952,17.293195,9.39785925,9.07184,10.83
116,1.425,1.125,0.4125,31.22697425,13.08329425,6.22271525,7.93786,11.02
117,1.6,1.275,0.475,41.31939625,16.31513725,7.78193775,11.90679,12.15
118,1.5875,1.2875,0.4875,38.00250475,16.20173925,8.278054,10.0640725,10.93
119,1.6125,1.225,0.4,33.38153625,13.99047825,7.824462,8.9300925,11.08
120,1.7375,1.2875,0.45,41.91473575,18.9091165,9.468733,11.056305,10.81
121,1.4,1.1125,0.3875,27.499015,9.19941275,5.1879585,8.17883075,12.47
122,1.5,1.175,0.375,27.669112,13.834556,5.5848515,7.93786,10.49
123,1.3625,1.0375,0.3,20.25571775,8.561549,4.86193925,6.36446275,10.27
124,1.4125,1.1,0.375,25.3728025,10.2908685,5.40057975,7.7961125,9.72
125,1.1875,0.975,0.3125,17.08057375,8.12213175,3.64291075,4.12485225,8.16
126,1.3875,1.075,0.375,24.67823975,8.91591775,5.99591925,7.2291225,10.58
127,1.5375,1.1875,0.375,27.54153925,13.93377925,6.98815175,8.9300925,10.16
128,1.6,1.3125,0.425,38.6403685,19.43358225,7.824462,10.0640725,11.55
129,1.6375,1.375,0.4875,48.94541175,19.03668925,10.33339275,12.85649825,9.93
130,1.6125,1.275,0.4,37.137845,13.67863375,8.561549,10.20582,12.45
131,1.325,0.95,0.325,16.839603,7.10154975,3.9405805,4.819415,9.12
132,1.4125,1.1,0.3875,29.7386255,11.679994,6.5487345,8.0796075,12.85
133,1.5625,1.25,0.4375,37.37881575,15.5071765,8.29222875,10.1207715,11.11
134,1.25,0.975,0.3125,14.7133905,7.04485075,3.21766825,3.798833,8.96
135,1.55,1.2625,0.5125,31.34037225,12.60135275,6.4353365,11.056305,13.32
136,1.125,0.925,0.3125,15.762322,6.90310325,3.89805625,5.5281525,11.84
137,1.4375,1.0875,0.3375,28.122704,12.246984,6.30776375,6.7755305,9.13
138,1.1,0.875,0.325,12.303683,5.2446575,3.10427025,3.685435,10.15
139,1.5875,1.275,0.5375,36.32988425,17.57669,7.3992195,14.98271075,9.27
140,1.8125,1.45,0.5,50.2636635,23.926978,11.60912025,14.0330025,14.25
141,1.4125,1.125,0.35,24.73493875,10.8011595,5.20213325,7.7961125,10.174
142,1.15,0.875,0.2625,11.1413535,4.46504625,2.551455,3.5436875,9.94
143,1.55,1.175,0.4125,26.2799865,9.11436425,5.62737575,8.9300925,8.7
144,1.275,0.9375,0.35,16.839603,6.917278,3.18931875,4.7343665,9.2
145,1.5625,1.2375,0.4375,36.61337925,13.53688625,8.29222875,11.056305,14.95
146,1.4125,1.125,0.3875,24.607366,10.4609655,6.05261825,6.80388,10.01
147,1.4875,1.125,0.4125,23.43086175,9.76640275,4.5075705,7.6827145,10.52
148,1.6125,1.25,0.45,43.2896865,19.731252,8.221355,11.3398,9.57
149,1.1625,0.875,0.325,15.87572,6.73300625,3.01922175,4.9611625,8.15
150,1.575,1.2,0.375,36.0322145,18.72484475,6.87475375,5.6699,9.81
151,1.475,1.175,0.3625,27.499015,12.23280925,6.59125875,7.2291225,11.21
152,1.55,1.2,0.4125,32.1199835,12.927372,7.0023265,8.50485,11.05
153,1.5125,1.2125,0.4375,32.16250775,12.68640125,7.98038425,10.77281,11.71
154,1.4375,1.125,0.375,22.5378525,10.6877615,4.9044635,6.3786375,10.22
155,1.6125,1.2125,0.425,33.40988575,12.1619355,7.597666,10.0640725,11.02
156,1.4375,1.125,0.325,24.73493875,11.60912025,5.159609,6.690482,8.15
157,1.5,1.2375,0.4125,32.0065855,14.514944,7.427569,8.788345,10.78
158,1.5125,1.175,0.375,29.1149365,12.40290625,7.824462,8.3631025,9.44
159,1.675,1.3125,0.425,38.51279575,17.19397175,8.4198015,11.056305,10.55
160,1.5375,1.1875,0.4125,31.70891575,13.2959155,7.3425205,9.4970825,10.37
161,1.5125,1.175,0.4,33.38153625,17.3215445,6.44951125,8.278054,10.47
162,1.8,1.425,0.4875,51.55356575,23.6151335,11.60912025,13.60776,10.5
163,1.375,1.05,0.3875,21.13455225,7.75358825,4.082328,6.9456275,10.362
164,1.5625,1.175,0.4125,34.1611475,16.96717575,6.13766675,8.7599955,9.78
165,1.575,1.2625,0.4375,36.0889135,13.53688625,8.60407325,10.489315,13.08
166,1.475,1.1875,0.425,27.499015,12.8423235,6.0951425,7.7961125,10.04
167,1.5625,1.25,0.4125,31.127751,13.87708025,7.711064,8.788345,10.43
168,1.2,0.95,0.3,14.67086625,7.9095105,2.73572675,4.53592,10.78
169,1.4,1.05,0.35,19.901349,8.85921875,4.7343665,5.386405,9.21
170,1.3875,1.075,0.375,24.6357155,10.19164525,4.252425,7.8528115,10.36
171,1.6,1.3125,0.5375,50.4337605,15.592225,8.09378225,12.190285,10.53
172,1.0625,0.8625,0.2375,11.1413535,4.6776675,1.7860185,3.5436875,8.36
173,1.3,1.0125,0.3125,15.5071765,5.6699,3.01922175,4.819415,11.62
174,1.6125,1.25,0.4125,46.45065575,16.96717575,9.99319875,10.0640725,13.53
175,1.425,1.15,0.425,26.3366855,10.77281,5.896696,7.2291225,10.72
176,1.5375,1.1875,0.375,31.56716825,14.72756525,7.29999625,8.0796075,11.43
177,1.8125,1.4375,0.475,42.807745,24.76328825,12.09106175,14.41572075,10.54
178,1.625,1.25,0.4125,35.0116325,16.8112535,5.9250455,10.3475675,9.45
179,1.7125,1.375,0.4875,43.98424925,18.83824275,10.19164525,12.0485375,10.49
180,1.625,1.3,0.475,38.55532,17.70426275,9.241937,10.0640725,11.44
181,1.5,1.1875,0.4375,35.50774875,17.349894,7.35669525,9.355335,12.08
182,1.5125,1.125,0.4875,28.44872325,11.509897,7.10154975,8.0796075,11.83
183,1.375,1.0625,0.3125,21.885814,9.2702865,4.7910655,6.80388,8.66
184,1.5625,1.2,0.425,32.31843,12.00601325,8.54737425,8.9300925,11.59
185,1.6125,1.2875,0.375,33.72173025,13.70698325,8.43397625,9.922325,10.31
186,1.5625,1.2875,0.4125,36.47163175,16.4710595,8.3064035,9.19941275,9.57
187,1.2875,0.9875,0.3375,20.87940675,9.298636,4.06815325,4.819415,8.76
188,1.2875,0.925,0.2875,17.42076775,9.68135425,4.12485225,3.8271825,8.09
189,1.5125,1.175,0.3875,30.43318825,12.40290625,7.32834575,8.788345,10.62
190,1.675,1.2625,0.45,39.22153325,15.97494325,5.0745605,11.963489,13.23
191,1.4875,1.1625,0.3875,27.22969475,8.83086925,5.216308,9.7805775,13.17
192,1.1375,0.8625,0.325,16.42853525,6.08096775,3.5436875,5.5281525,9.16
193,1.2125,0.9125,0.55,25.4295015,8.618248,6.973977,7.7961125,12.35
194,1.55,1.2125,0.4,33.8776525,13.097469,6.5487345,10.0640725,10.62
195,1.575,1.2125,0.3875,34.62891425,16.3576615,6.59125875,10.0640725,9.87
196,1.45,1.1625,0.35,24.7491135,11.92096475,6.4353365,6.19436575,10.37
197,1.15,0.8625,0.3125,11.97766375,5.34388075,2.50893075,3.2601925,8.24
198,1.325,1.0625,0.4,21.9708625,9.87980075,5.10291,6.0951425,9.13
199,1.5125,1.2,0.4,31.127751,13.13999325,7.78193775,8.9300925,11.15
200,1.625,1.275,0.425,38.20095125,16.0741665,6.8889285,11.7083435,11.17
201,1.575,1.225,0.4125,34.6147395,16.612807,8.77417025,10.0640725,11.13
202,1.25,1.0125,0.3375,21.53144525,9.07184,4.932813,5.6699,8.74
203,1.55,1.225,0.45,33.622507,13.60776,7.8528115,9.922325,12.86
204,1.575,1.2,0.4125,30.504062,13.1258185,6.973977,9.4970825,11.75
205,1.625,1.3,0.4125,46.05376275,19.6462035,7.5693165,12.757275,11.41
206,1.45,1.1,0.3625,25.9397925,11.793392,5.40057975,6.80388,9.16
207,1.4125,1.1375,0.3875,31.18445,11.69416875,6.917278,8.77417025,12.97
208,1.7625,1.4125,0.4625,47.400364,22.6796,10.02154825,10.0640725,11.18
209,1.625,1.2375,0.3875,35.9755155,16.726205,6.8889285,9.922325,9.71
210,1.4875,1.175,0.425,31.411246,13.93377925,7.6827145,9.48290775,11.009333333333334
211,1.25,0.975,0.35,17.179797,7.8528115,2.778251,4.5075705,9.81
212,1.525,1.175,0.4,27.54153925,11.07047975,7.257472,7.5126175,11.03
213,1.5875,1.2375,0.425,32.13415825,19.54698025,6.19436575,7.6827145,9.28
214,1.375,1.1,0.35,21.1203775,9.8372765,4.932813,5.8116475,8.54
215,1.175,1.0,0.3625,16.45688475,6.860579,3.8838815,5.10291,9.69
216,1.5375,1.225,0.375,30.674159,12.85649825,5.2446575,8.6465975,11.08
217,1.6125,1.2125,0.4375,34.62891425,14.13222575,7.75358825,9.355335,12.39
218,1.45,1.0875,0.5,24.323871,12.14776075,4.422522,7.2291225,9.89
219,1.2375,1.0,0.3375,17.78931125,7.654365,3.33106625,6.6621325,9.82
220,1.675,1.3125,0.5,43.885026,19.6462035,10.4042665,10.489315,11.22
221,1.2875,0.9875,0.2875,16.386011,6.293589,3.96893,4.819415,9.61
222,1.25,0.95,0.2875,16.42853525,6.6054335,3.86970675,4.252425,10.39
223,1.3,1.0,0.3625,21.44639675,10.19164525,3.86970675,5.10291,9.15
224,1.375,1.1,0.4125,26.20911275,11.4815475,6.22271525,8.50485,10.57
225,1.4375,1.15,0.3875,28.462898,11.679994,5.23048275,7.654365,12.53
226,1.525,1.2125,0.4625,29.27085875,12.927372,7.2858215,8.6465975,11.58
227,1.4375,1.1125,0.4,23.7852305,10.04989775,4.989512,6.7755305,9.31
228,1.3125,1.0,0.3625,16.40018575,6.84640425,3.4869885,5.17378375,8.77
229,1.325,1.025,0.35,21.58814425,8.1930055,4.5075705,6.3786375,10.94
230,1.6125,1.275,0.4625,38.158427,15.4504775,9.241937,10.61688775,9.82
231,1.55,1.175,0.4125,32.16250775,14.21727425,7.767763,8.9300925,9.97
232,1.475,1.15,0.4,30.71668325,13.79203175,8.29222875,7.2291225,9.325
233,1.1875,0.925,0.3,16.42853525,8.20718025,3.81300775,4.1106775,9.58
234,1.4625,1.15,0.3625,26.40755925,11.75086775,5.85417175,7.5126175,12.03
235,1.45,1.1625,0.4125,32.21920675,15.46465225,6.64795775,8.6465975,10.55
236,1.5875,1.2875,0.3625,34.23202125,15.26620575,7.49844275,9.7805775,11.2
237,1.2125,0.9375,0.3125,18.97999025,8.1930055,3.8838815,5.10291,7.82
238,1.3125,1.025,0.3625,21.035329,9.6671795,4.63514325,5.2446575,10.29
239,1.575,1.25,0.375,30.277266,14.07552675,6.8889285,8.6465975,9.87
240,1.125,0.8625,0.3125,12.99824575,5.1312595,3.18931875,4.6776675,10.61
241,1.4375,1.125,0.325,24.720764,12.927372,5.62737575,6.80388,8.56
242,1.2375,0.9,0.3125,15.365429,7.92368525,3.118445,4.252425,8.29
243,1.425,1.1375,0.3625,25.7129965,9.128539,6.2652395,7.087375,9.68
244,1.325,1.025,0.3625,21.4605715,10.36174225,4.6776675,5.17378375,8.67
245,1.5625,1.2875,0.375,34.68561325,14.84096325,8.68912175,10.20582,11.28
246,1.5625,1.3125,0.4625,35.6920205,20.2698925,6.27941425,11.623295,12.37
247,1.5,1.25,0.4125,33.0271675,14.47241975,8.164656,9.922325,12.05
248,1.15,0.875,0.325,13.60776,5.82582225,2.9766975,4.26659975,10.97
249,1.475,1.15,0.375,28.08017975,14.004653,6.25106475,7.7961125,9.87
250,1.25,0.95,0.4,20.3265915,9.979024,4.29494925,5.10291,9.28
251,1.6125,1.3125,0.4375,39.2073585,17.70426275,6.59125875,10.21999475,10.0
252,1.4375,1.125,0.3875,29.69610125,10.78698475,6.3786375,10.19164525,13.75
253,1.575,1.25,0.4375,35.84794275,16.0174675,9.56795625,8.9300925,11.828357142857142
254,1.625,1.3125,0.4375,38.48444625,11.69416875,8.37727725,12.757275,14.9
255,1.6375,1.3375,0.5,38.498621,16.0741665,7.01650125,12.6155275,14.84
256,1.5375,1.1875,0.5125,38.51279575,17.61921425,8.51902475,11.4248485,11.01
257,1.5625,1.225,0.35,33.86347775,15.2803805,7.711064,8.278054,9.92
258,1.4625,1.125,0.4375,33.0271675,11.26892625,6.9456275,10.489315,13.73
259,1.3,1.0375,0.4,20.87940675,9.42620875,4.40834725,6.23689,9.9
260,1.3,1.025,0.375,20.70930975,8.68912175,4.57844425,5.6699,9.41
261,1.175,0.925,0.3125,14.5999925,5.613201,3.572037,4.9611625,9.59
262,1.525,1.2375,0.425,36.457457,17.78931125,8.674947,10.0640725,9.7
263,1.475,1.1375,0.375,28.462898,14.061352,6.13766675,7.37087,9.01
264,1.3,1.025,0.35,20.638436,8.448151,4.52174525,6.010094,9.39
265,1.5625,1.2125,0.4375,38.612019,17.78931125,7.89533575,10.3475675,10.23
266,1.425,1.0875,0.3125,23.20406575,10.58853825,6.10931725,6.6621325,9.13
267,1.5625,1.225,0.375,33.46658475,14.89766225,7.52679225,8.9300925,10.06
268,1.5125,1.2375,0.4125,30.94347925,12.37455675,7.69688925,9.4970825,11.71
269,1.575,1.2125,0.375,28.81726675,13.73533275,6.67630725,7.087375,8.59
270,1.5875,1.275,0.4375,36.7693015,15.762322,7.66853975,10.489315,11.15
271,1.4375,1.125,0.3625,26.2232875,12.417081,6.23689,6.23689,8.59
272,1.5125,1.2,0.45,34.6147395,12.65805175,7.24329725,8.3631025,10.2
273,1.7625,1.3375,0.45,54.090846,24.73493875,11.41067375,14.74174,9.18
274,1.225,0.95,0.35,16.40018575,7.257472,3.75630875,5.03203625,8.46
275,1.375,1.075,0.3875,21.72989175,10.375917,4.60679375,6.9456275,9.21
276,1.525,1.2125,0.3875,32.78619675,12.00601325,7.41339425,10.489315,9.93
277,1.6125,1.2875,0.4125,41.7588135,17.53416575,8.2497045,11.623295,11.57
278,1.5625,1.1875,0.4125,47.400364,22.69377475,10.8578585,12.190285,13.63
279,1.575,1.2125,0.375,33.38153625,15.37960375,7.5126175,7.83863675,9.78
280,1.1375,0.8875,0.3125,13.50853675,5.31553125,2.87747425,4.3941725,9.57
281,1.4375,1.1,0.3875,31.808139,14.21727425,6.93145275,8.0796075,10.34
282,1.575,1.225,0.3875,31.3261975,13.947954,6.406987,9.2135875,9.601999999999997
283,1.45,1.15,0.3875,29.7386255,12.5588285,5.79747275,8.0796075,12.76
284,1.4375,1.2,0.4125,30.560761,14.4865945,5.93922025,8.674947,9.9
285,1.6625,1.3125,0.5125,46.67745175,21.21960075,8.51902475,13.834556,13.88
286,1.575,1.2125,0.375,29.9654215,13.5794105,6.917278,9.7805775,9.8
287,1.375,1.075,0.4,23.09066775,10.3475675,4.23825025,5.953395,9.38
288,1.4,1.075,0.3625,24.38057,9.865626,5.6415505,6.80388,10.75
289,1.525,1.1875,0.3875,31.22697425,13.7495075,8.8166945,9.63883,9.83
290,1.25,0.9625,0.325,27.54153925,9.39785925,6.7755305,8.221355,10.69
291,1.6,1.2875,0.5,39.02308675,12.47378,8.71747125,13.324265,14.88
292,1.425,1.15,0.325,26.29416125,12.47378,5.48562825,7.5126175,9.09
293,1.5375,1.1875,0.3875,34.11862325,15.32290475,7.6260155,9.63883,10.02
294,1.5625,1.175,0.425,33.04134225,13.210867,6.50621025,8.618248,10.92
295,1.7375,1.35,0.4875,51.766187,23.6151335,10.50348975,10.0640725,10.61
296,1.4875,1.15,0.3875,25.798045,10.8011595,5.45727875,7.58349125,10.15
297,1.2625,0.975,0.3375,17.179797,6.84640425,4.66349275,5.6699,11.92
298,1.375,1.0625,0.35,24.05455075,11.736693,4.89028875,7.01650125,9.01
299,1.4625,1.1625,0.4125,29.937072,11.94931425,6.293589,8.221355,10.85
300,1.625,1.25,0.5,39.73182425,16.57028275,8.391452,11.056305,12.59
301,1.45,1.1375,0.375,31.581343,14.72756525,7.41339425,8.50485,9.48
302,1.5875,1.275,0.475,37.096681,14.7133905,8.68912175,11.90679,14.45
303,1.5125,1.1875,0.35,27.62658775,13.0124205,5.5281525,7.087375,9.17
304,1.6625,1.3,0.4625,38.68289275,16.0174675,8.43397625,10.0640725,10.27
305,1.5125,1.2,0.4125,34.20367175,16.23008875,7.75358825,8.221355,9.41
306,1.625,1.3125,0.4625,38.215126,18.49804875,7.9095105,9.2135875,11.38
307,1.4375,1.125,0.4,24.6357155,12.0485375,4.77689075,7.7961125,10.05
308,1.525,1.2125,0.4,34.23202125,15.592225,8.09378225,8.9300925,10.19
309,1.4375,1.125,0.3625,26.26581175,11.453198,5.896696,7.2291225,8.76
310,1.3125,1.0625,0.3875,23.81358,6.76135575,4.989512,10.20582,13.63
311,1.075,0.8125,0.275,14.81261375,5.71242425,2.2963095,4.53592,11.3
312,1.55,1.2,0.4375,31.808139,11.4248485,6.520385,11.056305,14.79
313,1.2875,1.0,0.375,20.638436,9.48290775,4.932813,5.2446575,10.44
314,1.625,1.3,0.4125,38.90968875,18.824068,9.07184,8.37727725,10.59
315,1.3625,1.1,0.3,24.28134675,10.64523725,5.6982495,5.6982495,9.17
316,1.3,1.0125,0.3625,19.107563,9.2135875,4.15320175,5.2446575,8.23
317,1.3125,1.075,0.3625,20.31241675,9.87980075,4.89028875,6.0951425,8.58
318,1.4375,1.125,0.4,27.08794725,12.6722265,5.93922025,7.93786,10.0
319,1.325,1.05,0.35,19.17843675,9.355335,4.01145425,5.85417175,10.16
320,1.45,1.15,0.3625,26.7902775,11.4248485,4.649318,7.5126175,10.43
321,1.2125,0.9375,0.3125,16.96717575,5.74077375,3.07592075,4.40834725,11.1
322,1.4875,1.1625,0.3375,22.55202725,9.70970375,5.08873525,6.87475375,9.34
323,1.525,1.2125,0.4125,28.76056775,12.82814875,5.45727875,8.9300925,11.68
324,1.325,1.05,0.325,21.36134825,10.8578585,4.40834725,5.8116475,9.593333333333334
325,1.65,1.3125,0.45,44.9906565,19.03668925,11.38232425,11.1980525,11.76
326,1.5,1.25,0.3875,37.761534,17.4349425,6.95980225,9.355335,11.26
327,1.5625,1.2375,0.4375,36.61337925,16.20173925,7.427569,11.056305,10.79
